predicted,real,set
5.736124,5.54,training
6.710882,6.85,training
6.0078273,5.54,training
7.3356237,7.19,training
5.5594287,5.59,training
4.8070207,4.82,training
5.192397,5.1,training
8.289726,8.28,training
3.6233923,3.3,training
8.344603,7.87,training
6.368549,6.44,training
3.8920195,3.4,training
7.6411586,8.11,training
4.9389358,4.42,training
5.963755,6.82,training
5.743232,4.7,training
4.617318,4.93,training
5.874845,5.6,training
4.9724784,4.28,training
6.166166,5.92,training
6.298873,6.05,training
8.978903,8.77,training
10.416094,10.6,training
7.25923,7.7,training
5.1984186,4.4,training
3.7676072,3.03,training
7.464787,7.94,training
6.182511,6.07,training
3.23109,3.42,training
4.71757,4,training
10.494542,10.25,training
5.6863275,5.07,training
5.3137264,5.37,training
5.7829742,5.35,training
3.7918193,4.05,training
10.269319,9.86,training
6.1719284,5.58,training
6.558221,6,training
7.289211,7.86,training
6.8705187,6.5,training
5.5055375,5.31,training
8.310452,8.1,training
4.637407,4.5,training
5.0792947,5.33,training
6.0522256,6.3,training
4.136438,4.12,training
6.1139703,5.35,training
5.399398,5.15,training
7.7981634,8.52,training
4.7381988,4.31,training
6.597167,7.19,training
6.759247,7.21,training
6.4189987,5.97,training
7.085439,6.54,training
3.8509026,3.34,training
7.9948797,8.22,training
7.910745,7.92,training
6.0348897,5.2,training
6.0947685,5.9,training
4.0001082,3.44,training
7.968915,7.8,training
5.704703,5.74,training
6.8734493,7.22,training
8.358827,8.07,training
7.441721,7.4,training
6.3500934,6.68,training
7.771766,7.24,training
8.024191,7.92,training
2.6079373,1.88,training
7.3408394,7.69,training
4.427392,2.6,training
6.907488,6.81,training
9.345109,10,training
6.3518004,5.96,training
6.4762754,6.42,training
6.10873,4.54,training
2.6221242,2.89,training
7.468833,6.95,training
5.7683945,5.78,training
6.1481686,6.4,training
7.5339837,7.66,training
5.024664,4.52,training
9.164093,8.52,training
8.028102,7.08,training
7.211299,7.54,training
6.941157,6.7,training
3.991109,3.3,training
5.6633754,5.51,training
4.6283007,4.62,training
11.150692,10.19,training
3.2114818,2.64,training
7.6742473,7.42,training
5.5917683,5.8,training
6.779283,6.4,training
7.9635024,8,training
5.50115,5.74,training
7.9518027,7.9,training
6.309094,5.9,training
4.7750807,4.52,training
8.241031,7.96,training
7.2436175,6.8,training
6.245525,6.05,training
8.93255,8.68,training
5.57385,6.05,training
5.4583907,5.63,training
5.6626954,5.1,training
6.7011375,6.87,training
6.8252234,6.85,training
9.627196,8.74,training
5.2346773,5.15,training
5.539075,5.55,training
7.202962,6.92,training
5.790442,5.4,training
8.215743,8.15,training
7.276464,7.28,training
7.8967934,7.4,training
4.6395216,4.3,training
4.5467205,3.92,training
11.434188,11.57,training
8.120332,7.4,training
7.457884,7.07,training
6.8707943,6.47,training
7.1620736,7.96,training
3.9784722,3,training
5.987348,6.31,training
7.520157,7.68,training
6.18687,5.54,training
7.407695,6.96,training
6.667974,6.85,training
7.939074,7.57,training
7.4299583,6.89,training
6.4908524,7.16,training
7.365552,6.36,training
6.167191,6.92,training
7.4487987,7.92,training
4.1910315,3.87,training
3.8641412,3.3,training
6.9397,6.8,training
7.643806,7.22,training
8.998935,8.72,training
5.5707088,5.22,training
4.485771,4.28,training
6.3907394,5.96,training
6.0746207,5.74,training
5.0719604,5.1,training
5.815488,6.44,training
7.1181326,7.1,training
5.208022,4.27,training
4.6087646,4.47,training
7.556556,8.14,training
7.3453984,7.35,training
4.0505333,3.62,training
5.4282174,5.49,training
7.794281,8.1,training
9.335152,9,training
5.718031,5.05,training
6.439492,5.92,training
9.030797,9,training
4.896828,4.31,training
7.6237454,7.7,training
7.3386316,6.68,training
7.5881095,8.24,training
6.620391,6.51,training
6.9413724,6.3,training
6.268595,6.28,training
6.9374957,7.46,training
7.510288,6.98,training
7.510288,6.98,training
7.2239704,7.11,training
7.129912,6.27,training
6.318997,6.57,training
7.2347145,7.36,training
9.091781,9.52,training
5.7454996,5.64,training
3.6789489,3.72,training
6.2915287,6.16,training
7.32514,7.3,training
7.184602,7.1,training
2.5747013,2.23,training
3.6962743,3.36,training
8.791455,8.72,training
4.706075,5.15,training
5.010664,4.55,training
4.1435976,3.73,training
6.8412867,6.84,training
6.4649653,5.6,training
5.2086463,4.46,training
8.115986,7.17,training
6.436762,6.33,training
5.8338547,5.89,training
7.730568,8,training
7.5290055,7.89,training
8.3110485,7.46,training
5.4913716,5.6,training
5.676045,5.22,training
3.47486,3.57,training
7.2732096,7.14,training
5.987247,5.76,training
6.834823,6.98,training
8.428904,9.3,training
10.084853,9.4,training
7.7951016,7.95,training
5.7710624,5.19,training
5.5885086,5.37,training
3.7695653,3.74,training
5.825925,5.46,training
9.646192,10,training
7.3432527,7.48,training
5.6219754,5.41,training
5.6200824,5.3,training
6.6276875,6.49,training
8.896536,8.41,training
7.435278,7.34,training
7.8961906,8.05,training
9.12481,8.8,training
9.838353,10.22,training
5.955201,5.96,training
10.240646,8.7,training
9.346283,9.27,training
5.8844194,5.91,training
4.819589,5.2,training
5.310367,4.32,training
8.7385,8.25,training
7.149507,7,training
5.9818254,6,training
7.1347003,7.44,training
8.830474,8.3,training
7.1225553,7.77,training
7.0720687,6.77,training
7.8728385,7.37,training
5.244584,6.6,training
7.850545,6.87,training
4.771224,4.39,training
7.676066,8.05,training
6.383447,6.24,training
5.481249,5.37,training
7.3870053,7.92,training
7.418312,7.82,training
7.418312,7.82,training
6.876946,6.92,training
6.5673594,6.44,training
6.245641,6.54,training
7.400434,8.27,training
6.7759867,6.62,training
6.3596916,6.25,training
4.37919,4.58,training
6.230572,6.15,training
3.8839695,4.15,training
5.6275783,5.68,training
8.13542,7.6,training
10.866893,9.7,training
6.1069183,7,training
3.7506526,3.41,training
3.3042753,2.71,training
5.2954383,4.92,training
5.5080166,5.77,training
5.718331,5.7,training
5.6360784,5.44,training
5.3857617,4.7,training
5.5930877,5.23,training
7.5829167,8.36,training
9.17272,8.49,training
5.97759,5.19,training
3.6675403,3.24,training
6.1385884,4.74,training
8.6226225,7.7,training
1.6273402,1.52,training
7.08194,6.73,training
7.582984,7.4,training
7.9398994,7.2,training
5.972174,5.94,training
5.413778,5.15,training
2.6083486,2.6,training
6.4187675,6.55,training
6.214501,5.37,training
8.267888,7.33,training
6.1739736,6.47,training
6.8025317,6.22,training
5.8866253,6.85,training
6.358674,6.58,training
7.8443255,8.21,training
5.6322255,5.59,training
8.106706,8.05,training
6.323286,6.28,training
6.1514153,6.49,training
6.7105756,5.86,training
5.0687666,5.24,training
5.5795894,5.04,training
6.6990843,6,training
7.565941,7.49,training
7.638887,7.32,training
4.748581,3.93,training
5.3937025,4.88,training
6.687883,6.37,training
8.907191,8.59,training
4.421543,4.17,training
6.411974,5.48,training
7.2719126,7.22,training
8.254985,8,training
5.7570615,4.7,training
8.736833,9.37,training
6.959103,6.85,training
4.819143,4.39,training
5.3135114,5.05,training
4.8856444,5.75,training
6.6538534,6.6,training
3.9765346,3.44,training
6.6506276,6.8,training
6.1710215,4.4,training
6.4296613,6.54,training
9.288562,8.94,training
10.37493,9.62,training
5.723807,5.59,training
7.9082184,7.7,training
5.408685,5.82,training
8.769642,8.05,training
6.3748016,6.3,training
4.7369866,4.4,training
9.416748,9.3,training
7.4493976,6.89,training
4.598921,4.4,training
6.0992284,5.74,training
4.7745457,4.51,training
6.3375325,5.55,training
4.9115586,4.1,training
7.8636947,7.36,training
5.5427213,5.3,training
6.204179,6.01,training
3.493185,3.46,training
2.9683087,2.52,training
4.7468114,4.52,training
6.3191557,6.26,training
5.6971464,5.48,training
5.649657,5.3,training
9.488153,8.7,training
5.3083158,5.21,training
6.076866,5.07,training
8.829065,8.3,training
8.2696495,7.43,training
5.9613957,5.37,training
6.548912,6.92,training
8.313387,8.15,training
5.437688,5.29,training
5.797816,5.59,training
7.0446405,7.09,training
5.603101,5.15,training
8.506136,9,training
7.070337,6.55,training
5.4568424,5.48,training
4.3692155,4.38,training
4.0059996,2.98,training
6.0920014,6.13,training
6.9227486,7.37,training
6.506394,7.05,training
5.8332,5.43,training
4.2942014,4.15,training
7.4397926,6.15,training
8.692258,8.7,training
9.402605,8.52,training
6.942986,6.85,training
8.536327,8.4,training
3.2483263,3.11,training
8.13989,7.96,training
7.9429355,8,training
5.0657535,4.59,training
3.4624062,3.48,training
4.143037,3.93,training
7.081574,8.3,training
5.552119,5.54,training
8.398484,8.05,training
4.0272183,3.8,training
4.1587577,3.7,training
3.3201482,3.58,training
6.0120273,6.18,training
5.095836,4.52,training
5.634014,5.66,training
5.552221,4.68,training
8.345176,7.72,training
6.7974706,6.19,training
7.7368884,8.68,training
7.0406895,7.54,training
6.6068583,6.16,training
6.018738,6.28,training
5.122249,5.29,training
7.5520067,8.21,training
8.185423,8.08,training
8.90818,8.22,training
8.75748,9.52,training
8.477892,7.89,training
4.9828467,4.7,training
6.022431,5.46,training
7.4196763,7.52,training
5.880037,5.74,training
5.3074517,4.85,training
5.9479094,6.11,training
8.077842,7.57,training
6.0908513,6.12,training
2.7652133,2.7,training
3.515459,3.3,training
8.327685,7.6,training
7.7089934,7.95,training
8.742321,8.7,training
3.5186336,3.22,training
7.882174,8.46,training
6.5384917,6.42,training
4.885143,4.7,training
4.307044,3.78,training
7.1940637,6.7,training
5.101318,4.85,training
6.353081,5.74,training
6.5317907,7.14,training
6.128976,6.28,training
8.23034,7.58,training
4.087865,3,training
7.182249,8.14,training
8.828001,8.37,training
5.980709,6.29,training
8.017805,7.82,training
6.912825,7.15,training
8.289982,8.08,training
8.0299,7.47,training
6.1401367,6.96,training
6.6995034,6.74,training
5.3443513,5.66,training
6.560532,5.92,training
7.5543213,7.4,training
7.910847,8.4,training
5.277262,5.37,training
7.366206,7.26,training
6.6537876,6.42,training
6.5659223,7,training
8.366675,7.96,training
3.1662688,2.81,training
7.7234287,8.1,training
8.042666,8.05,training
9.4865,8.22,training
4.085019,3.3,training
7.63835,7.3,training
3.3956773,3.46,training
6.0897574,6.23,training
6.005387,6.19,training
6.373411,5.96,training
10.081039,8.48,training
5.5007305,5.2,training
7.113128,8.17,training
6.9931154,6.74,training
3.3947043,3.33,training
3.5706298,3.7,training
6.981131,6.85,training
8.190208,7.85,training
6.7136207,5.85,training
6.4157186,7.3,training
4.230499,3.66,training
6.846173,7.1,training
4.311462,3.6,training
6.7271852,6.52,training
5.594437,5.89,training
7.105847,6.78,training
4.245154,4.27,training
8.30111,7.3,training
8.134,8.44,training
7.945908,8,training
6.7576966,6.52,training
8.859018,8.52,training
7.8514013,8.1,training
5.305356,5.39,training
6.0804954,5.89,training
6.484446,6.33,training
3.1849225,2.68,training
7.111696,7.89,training
8.812405,8.07,training
4.678394,4.6,training
8.520443,7.54,training
5.1341825,4.97,training
6.1939187,7,training
6.524292,6.11,training
4.3875313,4.54,training
7.6543455,7.47,training
3.6781423,3,training
7.9526515,7.85,training
7.885368,7.38,training
9.032002,8.81,training
7.7821107,8,training
8.262866,8.54,training
6.1852126,5.81,training
9.487704,9,training
6.270763,5.54,training
8.900195,9.54,training
10.528053,10.72,training
7.403726,7.57,training
5.627975,5.73,training
8.804082,9.03,training
2.0507507,1.84,training
6.734343,7.4,training
6.7704573,7.52,training
5.4351277,4.85,training
8.65456,8.3,training
8.653901,8.35,training
4.089366,4,training
7.6420617,7.8,training
6.531503,6.15,training
2.1936445,2,training
5.846563,5.6,training
7.0187488,7.17,training
5.1425767,4.49,training
5.4927197,6.09,training
10.322284,10.3,training
7.93892,7.43,training
6.214639,6.42,training
6.3976107,6.72,training
2.7252383,2.64,training
8.825386,8.44,training
4.2416253,4.24,training
8.38851,8.02,training
4.8744144,4.52,training
5.5363545,5.39,training
5.90374,5.28,training
6.201483,5.92,training
6.8460493,6.92,training
6.5056415,6.79,training
2.653846,2.82,training
4.8102555,5.27,training
4.8102555,5.27,training
5.394245,4.85,training
8.283707,7.32,training
7.3360996,7.04,training
6.188853,6.11,training
5.5095534,5.48,training
6.5734487,6.32,training
6.6161876,5.85,training
5.67744,5.46,training
5.8974853,5.54,training
8.721341,9,training
6.6841035,6.31,training
5.8512826,5.7,training
8.824662,9.7,training
3.2916489,2.8,training
6.133406,6.41,training
8.010226,8.24,training
2.800065,2.3,training
4.7626185,5.09,training
6.1582346,6.07,training
6.7038636,6.16,training
7.918296,7.37,training
7.7089953,7.51,training
6.980273,7.3,training
6.8242,6.48,training
3.8344295,3.89,training
5.9313464,5.14,training
8.402097,8.29,training
4.4544697,4,training
3.2072136,3.26,training
3.5757256,2.34,training
7.3044004,7.21,training
9.006052,9,training
6.214653,5.96,training
6.47967,6.57,training
4.2366686,3.96,training
6.6825576,5.82,training
8.696057,9.59,training
6.300652,6.07,training
4.9702525,4.58,training
5.009954,5,training
4.632695,4.55,training
6.8217535,7.19,training
5.126318,4.6,training
9.578652,9.39,training
8.156246,9.05,training
6.257912,5.94,training
6.257912,5.94,training
5.0823464,5.15,training
6.6551247,6.52,training
4.3450646,3.81,training
4.350652,3.9,training
6.3930717,7,training
6.2669563,5.92,training
4.356186,4.8,training
8.074198,8.41,training
7.5309377,7.18,training
3.233475,2.52,training
5.7073317,5.7,training
3.633877,3.77,training
7.309605,7.7,training
8.027592,8.3,training
9.131596,8.7,training
6.795304,6.03,training
3.689357,3.61,training
4.6158633,3.52,training
8.885281,7.8,training
8.476924,7.92,training
7.0467515,6.07,training
3.4408982,3.05,training
8.583623,7.86,training
7.903524,8.15,training
9.685729,9.3,training
9.232042,8.88,training
6.4420094,6.22,training
6.846445,7,training
3.2927196,3.3,training
6.404439,6.04,training
8.226777,7.8,training
8.627185,8.15,training
8.121239,8.4,training
6.715462,6.25,training
8.2457695,8.4,training
6.7358294,7.24,training
6.7766166,6.95,training
8.595048,8.02,training
7.47092,7.15,training
6.2808304,5.88,training
6.982116,6.77,training
8.274585,8.22,training
6.2180195,6.32,training
6.506033,6.52,training
7.99547,8,training
8.997926,8.7,training
10.130723,8.4,training
7.835372,7.28,training
4.6054797,4.77,training
7.664918,7.67,training
8.41558,7.4,training
3.644731,3.67,training
9.527219,9.1,training
5.6248116,5.3,training
9.215424,8.3,training
5.7624335,6.09,training
9.826522,9.82,training
4.4568925,4.07,training
4.551376,3.94,training
6.717299,7.05,training
5.0952773,4.55,training
7.1765156,7.18,training
5.6679,4.92,training
7.7738876,7.72,training
7.040389,6.83,training
4.846457,5,training
8.402028,7.39,training
9.829137,10,training
6.577228,6.96,training
6.881804,6.28,training
6.881804,6.28,training
6.4687786,6.67,training
6.0610557,6.3,training
4.865371,5.48,training
7.5473056,7.6,training
7.0444226,6.7,training
6.1251206,6.35,training
7.5655646,7.44,training
5.7120285,6.11,training
6.360958,6.6,training
4.8278756,4.87,training
6.946424,6.78,training
8.9546795,9,training
9.372403,8.3,training
5.959934,5.26,training
6.3250546,6.72,training
8.025186,8.22,training
5.8163633,5.85,training
5.616955,5.01,training
7.998112,8.4,training
3.3315842,3.3,training
8.216919,8.22,training
8.946197,8.57,training
6.4444,5.51,training
8.584744,7.92,training
8.778644,8.37,training
5.7967734,5.4,training
5.3332562,4.47,training
5.4692583,4.87,training
5.4275193,5.78,training
6.779279,7.3,training
5.255663,5.28,training
5.3045616,5.38,training
9.438409,9.01,training
7.197334,7.05,training
4.2661366,4.42,training
5.081474,5.1,training
5.8915315,5.14,training
5.0001345,4.59,training
7.0741854,6.64,training
7.9132986,7.46,training
7.3123565,6.7,training
4.723819,5,training
8.484457,8.15,training
7.747277,7.49,training
12.586704,11.74,training
9.120766,8.96,training
7.3406506,7.3,training
6.8184805,6.41,training
7.6040173,8.22,training
8.903029,8.1,training
3.2595716,2.62,training
7.673233,7.92,training
7.456315,7.96,training
10.442862,9.8,training
5.8528132,5.7,training
5.8528132,5.7,training
7.539511,6.82,training
2.8278415,1.82,training
4.466775,4.31,training
9.633096,9.1,training
8.677567,8.17,training
6.235775,6.74,training
4.5849614,4.25,training
6.9443216,6.23,training
5.9158845,6.02,training
5.080186,5.19,training
5.2220383,4.77,training
5.795722,4.46,training
6.3467784,6.52,training
4.460086,4.1,training
6.5548162,6.19,training
4.7187214,4.52,training
7.94557,7.55,training
8.615006,8.05,training
10.5589,10.32,training
4.901123,4.82,training
4.8498945,4.44,training
6.861316,6.78,training
5.570045,5.8,training
6.145023,6,training
8.943103,9.3,training
8.979841,8.49,training
5.304524,5.41,training
8.515231,8.35,training
5.765399,5.43,training
4.683674,4.76,training
7.997126,7.64,training
5.792597,4.39,training
6.627508,6.24,training
3.244773,3.3,training
5.2376513,5.52,training
5.19084,5.07,training
8.514388,7.89,training
9.551724,9.51,training
6.5880575,6.3,training
7.415101,7.6,training
7.979456,8.06,training
7.8338494,7.2,training
7.011981,6.85,training
6.5776515,6.84,training
4.5562906,4.6,training
4.902623,4.71,training
7.850138,7.7,training
8.867037,9.55,training
9.03156,9.46,training
5.867736,5.17,training
3.3199546,2.59,training
4.827789,4.7,training
4.0348487,4.28,training
8.955763,9.52,training
9.814218,9.72,training
6.840688,7.12,training
8.225366,8.89,training
6.790503,6.6,training
8.240743,8.01,training
7.166748,6.77,training
5.842305,6.07,training
4.384894,4.22,training
6.4752903,6.15,training
7.5248647,7.15,training
11.516527,12.33,training
7.2284694,6.59,training
7.8426313,8.05,training
8.524765,9.3,training
5.4941287,5.08,training
4.4377394,4.54,training
4.4377394,4.54,training
6.689325,6.04,training
4.934494,5.09,training
8.775575,9.28,training
7.961644,7.89,training
8.719772,8.7,training
6.5053916,5.96,training
5.096825,4.74,training
3.153366,3.4,training
7.0518126,6.59,training
3.489975,3.3,training
7.3434606,6.78,training
4.499667,4.04,training
7.2436175,7.55,training
4.737079,4.6,training
6.385931,6.18,training
7.6271157,6.89,training
7.3428106,7.33,training
7.678635,7.74,training
8.4819,8.17,training
3.4723737,3.59,training
8.82127,8.37,training
8.82127,8.37,training
7.096964,7.19,training
4.916621,4.96,training
6.0558376,6.15,training
9.365082,9.39,training
6.136309,6.04,training
6.5817947,7.51,training
7.703814,7.28,training
5.6207223,5.47,training
7.1684046,6.64,training
8.445619,8.18,training
2.9785383,2.28,training
6.291691,6.85,training
8.468041,8.92,training
8.25516,8.62,training
3.771837,3.32,training
7.8964863,7.69,training
3.0474632,3,training
7.3756394,7.22,training
5.019773,5.32,training
6.138643,6.15,training
5.346986,5.11,training
3.975537,4.92,training
5.8664727,6.57,training
9.248247,8.83,training
6.914889,6.74,training
3.821281,3.42,training
6.8609247,7.05,training
6.890098,7.39,training
7.4937897,7.61,training
4.491372,4.76,training
7.1365,7.18,training
4.02094,4.23,training
3.307215,1.27,training
8.509984,8.3,training
9.281701,9.1,training
7.144337,7.04,training
7.1551604,7.85,training
6.7212033,6.29,training
4.4541364,3.9,training
11.887261,13,training
11.887261,13,training
5.789577,6.08,training
5.4468083,6,training
7.260504,6.89,training
6.8654523,7.68,training
7.93465,8,training
6.3849187,5.82,training
10.355279,10.1,training
6.0920334,5.1,training
5.252463,5.64,training
5.89584,5.92,training
9.829485,8.6,training
6.3556566,5.78,training
7.155948,7.6,training
6.8895864,6.63,training
7.2674317,7.23,training
5.042691,4.7,training
5.523975,5.2,training
6.827964,6.25,training
8.271492,8.21,training
5.556296,5.3,training
3.10923,3,training
5.5734797,5.03,training
5.7860646,6.04,training
3.0372527,2.96,training
2.7546713,2.68,training
6.1754575,7.46,training
6.071903,7.95,training
4.817199,4.72,training
4.631383,4.48,training
4.856623,4.44,training
5.9020796,5.5,training
8.295385,9,training
6.112852,5.6,training
7.0111523,7.52,training
9.53082,9,training
8.271024,8,training
5.8616023,5.62,training
6.2905765,6.1,training
7.545165,6.66,training
3.0010622,3,training
8.71202,8.15,training
7.818722,6.7,training
8.141072,7.89,training
5.2871156,5.22,training
9.127915,8.37,training
6.5715976,5.92,training
4.667851,4.38,training
5.8445125,5.02,training
5.953123,6.44,training
3.8278573,3.61,training
5.1757503,4.54,training
4.664148,5.12,training
3.4487152,3.24,training
5.1027474,5.39,training
6.066738,5.49,training
5.349912,4.68,training
8.543248,8.05,training
7.662325,7.59,training
7.4811087,7.96,training
7.4760804,7.26,training
6.825562,7.09,training
6.30134,7.1,training
6.7927876,7.18,training
10.5928755,9.51,training
6.4884787,6.38,training
4.598047,4.3,training
7.62668,8.22,training
10.725388,10.8,training
6.4776397,6.35,training
6.029366,6.34,training
6.664085,6.96,training
6.2101083,6.48,training
6.990406,7.48,training
7.5433025,8,training
2.9415612,2.92,training
6.158706,6.18,training
4.5216136,4.41,training
8.156708,8,training
5.823783,6.17,training
8.776547,8.22,training
7.533888,7.7,training
4.25497,4.4,training
8.889718,8.22,training
5.5726724,5.68,training
7.4716444,7.66,training
6.286905,5.74,training
3.8399036,3.46,training
8.384198,8,training
5.255587,5.02,training
6.5419106,6.68,training
5.4170446,4.8,training
4.877661,4.69,training
1.306441,1.3,training
6.6731,6.77,training
3.4979208,3.3,training
7.2436175,7.19,training
8.251083,7.84,training
6.141092,6.7,training
9.163514,9.4,training
6.689643,6.07,training
8.494504,7.94,training
5.596594,5.62,training
9.015986,7.72,training
4.9536033,5.08,training
7.5819473,7.35,training
4.943391,4.34,training
6.3712687,6.52,training
4.968979,4.51,training
5.5091405,5.52,training
4.1926484,3.06,training
4.1926484,3.06,training
8.43492,8.85,training
4.807393,5,training
6.9231267,6.85,training
5.6909413,6.3,training
7.962965,8.1,training
2.7051558,2.22,training
6.8691173,6.63,training
6.539817,7.28,training
8.051508,8.32,training
6.89793,6.9,training
7.386289,8.7,training
5.6254077,5.96,training
7.3631554,7.74,training
6.526162,5.89,training
8.0609865,7.96,training
6.3910284,6.13,training
5.3267293,4.39,training
7.3300686,7.17,training
6.1201067,6.03,training
6.5948424,6.43,training
5.1431317,5.22,training
3.9315784,3.48,training
6.949233,6.7,training
8.589808,8.05,training
7.318404,6.64,training
9.303876,8.4,training
4.1366186,3.66,training
9.373224,8.44,training
6.054351,6.26,training
8.329008,8.1,training
7.9546757,7.22,training
6.4189987,6.27,training
7.7756314,6.94,training
4.083531,3.59,training
7.0176897,7.46,training
5.628932,5.11,training
7.0888824,6.62,training
7.56369,6.81,training
3.8205128,4.36,training
4.816206,5,training
10.172858,9.15,training
4.790818,4.38,training
6.6132936,7.52,training
10.435869,9,training
6.4924893,7.9,training
7.823238,7.31,training
6.1590834,5.96,training
6.3282185,6.25,training
5.1662693,5,training
7.621202,6.52,training
4.818777,4.6,training
7.3741193,8.3,training
5.003278,4.36,training
7.373814,7.44,training
5.9649267,6.31,training
3.6332624,3.82,training
5.9423018,6.05,training
6.165797,6.82,training
6.206337,6.31,training
4.100873,4.13,training
4.2565007,3.92,training
3.8615417,3.2,training
5.5077286,5.7,training
3.901785,3,training
7.5501237,7.13,training
6.1680083,5.96,training
5.4038005,5.27,training
4.483387,4.05,training
7.8561134,8.2,training
2.8704143,3,training
6.7359614,7.07,training
3.2865899,2.7,training
5.6492915,5.3,training
5.6492915,5.3,training
5.6492915,5.3,training
5.6492915,5.3,training
6.9042716,7.62,training
3.7658772,3.3,training
8.905988,8.51,training
9.81756,10.59,training
4.8854094,4.47,training
6.841022,6.68,training
5.5070777,5.82,training
7.2284217,7.1,training
5.3927693,4.99,training
6.6191463,6.98,training
7.461715,8.3,training
6.47089,6.3,training
5.944345,5.47,training
6.068821,6.4,training
6.4432435,6.44,training
7.9603744,7.55,training
6.5582523,6,training
9.223519,8.64,training
7.822027,7.24,training
7.5554905,7.92,training
6.1028914,6.12,training
6.366081,6.47,training
4.41006,4.07,training
6.3668137,6.57,training
4.330301,5.33,training
7.49077,7.18,training
6.662668,7.21,training
3.3985083,3.1,training
4.658156,4.28,training
6.5493584,6.22,training
4.7067,4.31,training
6.757285,6.52,training
7.385608,7.09,training
7.0078773,6.24,training
7.454349,7.89,training
8.04465,7.42,training
5.4620748,4.92,training
5.407668,5.48,training
4.7378263,4.51,training
5.357174,5.6,training
2.8735743,2.3,training
8.31619,8.23,training
4.318662,3.85,training
4.1310453,4.17,training
8.776346,8.1,training
5.58177,4.93,training
6.079391,5.89,training
7.158873,7.66,training
5.500494,4.53,training
6.2636223,5.45,training
7.50305,7.3,training
6.7666554,7.72,training
5.4980326,5.64,training
6.470775,6.77,training
3.7681653,2.92,training
6.1972294,5.66,training
7.8033543,8.05,training
8.078657,8.28,training
7.838237,7.89,training
7.085073,7.4,training
4.4327345,3.6,training
5.986549,5.9,training
5.792099,5.6,training
9.168349,9,training
7.0542555,7.13,training
7.0542555,7.13,training
7.0542555,7.13,training
5.1394057,4.77,training
8.571249,7.92,training
4.4950047,3.15,training
5.208386,5.32,training
7.3043146,8.26,training
5.9411945,6.3,training
5.769605,6.44,training
6.980629,6.36,training
7.612495,7.11,training
3.5313134,3.53,training
5.585099,5.46,training
8.837184,8.17,training
5.666624,5.15,training
8.905413,9,training
7.401513,7.24,training
8.896394,8.8,training
10.476315,10.82,training
7.1426744,6.88,training
9.03155,8.4,training
9.03155,8.4,training
5.6600785,5.72,training
7.3816004,7.43,training
8.1702795,7.8,training
4.5280743,4.57,training
7.9676805,8,training
2.7241647,2.29,training
7.4766564,6.82,training
5.5339866,5.82,training
7.20596,6.95,training
6.7836137,6.92,training
7.4846263,7.37,training
8.233735,8,training
11.365749,10.8,training
10.567206,10.52,training
4.893247,4.55,training
8.550846,8.12,training
7.600718,6.35,training
8.187847,8.87,training
6.2385225,6.08,training
3.500888,3.18,training
7.3422437,7.52,training
7.5851617,8,training
5.8794947,5.96,training
6.0303993,6.7,training
5.729082,5.28,training
6.7987695,6.5,training
7.1693254,6.68,training
7.5356216,7.2,training
6.8915553,6.32,training
9.921059,9.3,training
5.087114,4.44,training
3.787686,2.88,training
5.2281885,4.32,training
9.9548855,9.42,training
7.597164,7.3,training
5.3507557,5.05,training
